"","Site.of.Cancer","Average.Annual.Cases.malefemale","incidence.rate.per.100.000.Population.malefemale","incidence.95lower.malefemale","incidence.95upper.malefemale","Average.Annual.Cases.male","incidence.rate.per.100.000.male","incidence.95lower.male","incidence.95upper.male","Average.Annual.Cases.female","Rate.per.100.000.female","incidence.95lower.female","incidence.95upper.female","Average.Annual.Deaths.malefemale","mortality.rate.per.100.000.Population.malefemale","mortality.95lower.malefemale","mortality.95upper.malefemale","Average.Annual.Deaths.male","mortality.rate.per.100.000.male","mortality.95lower.male","mortality.95upper.male","Average.Annual.Deaths.female","mortality.rate.per.100.000.female","mortality.95lower.female","mortality.95upper.female","county.name"
"1205","Lung and bronchus",22.8,80.5,66.2,97.5,12.4,92.5,70.3,120.6,10.4,70.1,52.1,93.7,14.2,52.8,41.1,67.4,7.8,63.3,44.6,88,6.4,44.7,30.4,64.9,"Schuyler"
"1206","Melanoma of the skin",7.6,30.2,21,42.5,5.4,42.2,27.3,63.4,2.2,20,9.5,37.7,1,3.8,1.2,9.9,0.8,6.7,1.7,19,0.2,1.1,0,10.5,"Schuyler"
"1207","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,19.6,148.9,119.6,184.1,NA,NA,NA,NA,NA,NA,NA,NA,3,24.3,12.7,42.8,"Schuyler"
"1208","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1.2,0,10.7,"Schuyler"
"1209","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,3.4,21,12.1,35.8,NA,NA,NA,NA,NA,NA,NA,NA,0.8,5.5,1.5,16.7,"Schuyler"
"1210","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,1.8,12.7,5.6,26.5,NA,NA,NA,NA,NA,NA,NA,NA,1,6.8,2.2,18.4,"Schuyler"
"1211","Prostate",NA,NA,NA,NA,14,92.6,71.5,119.3,NA,NA,NA,NA,NA,NA,NA,NA,2.4,18.9,9.5,34.9,NA,NA,NA,NA,"Schuyler"
"1212","Testis",NA,NA,NA,NA,0.6,6.9,1.4,20.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,9,NA,NA,NA,NA,"Schuyler"
"1213","Urinary bladder (incl. in situ)",6.8,24.2,16.7,34.7,6,48.3,32.2,70.6,0.8,5.1,1.3,16,1.6,5.8,2.5,12.4,1.2,11.2,4,25.7,0.4,2.3,0.3,11.9,"Schuyler"
"1214","Kidney and renal pelvis",4,16.1,9.4,26,2.6,21.4,10.9,38.7,1.4,10.9,3.9,25.1,0.6,2.3,0.5,7.8,0.2,2.1,0.1,12.7,0.4,2.5,0.3,12.5,"Schuyler"
"1215","Brain and other central nervous system",2.6,12.7,6.4,22.7,1.6,16.6,6.6,34.4,1,9.4,2.8,23.6,1.4,5.4,2.1,12.1,0.8,5.5,1.4,16.6,0.6,5.1,1,17,"Schuyler"
"1216","Thyroid",2.8,15.7,8.3,26.9,0.6,6.5,1,20.5,2.2,25.1,12.2,45.8,0.2,0.9,0,5.9,0,0,0,9,0.2,1.7,0,11.8,"Schuyler"
"1217","Hodgkin lymphoma",0.4,3,0.4,10.2,0.2,3.6,0.1,16.9,0.2,2.7,0.1,14.5,0,0,0,4.5,0,0,0,9,0,0,0,9.1,"Schuyler"
"1218","Non-Hodgkin lymphomas",5.4,19.4,12.5,29.4,2.4,18.5,8.9,35,3,20.7,11.4,36.3,1.6,6.1,2.6,13,0.8,5.9,1.5,17.5,0.8,6,1.6,17.6,"Schuyler"
"1219","Myeloma",2.2,8.7,4.3,16.4,1,8.4,2.6,21.4,1.2,9.7,3.4,23,0.8,3,0.8,8.7,0.6,4.4,0.9,15.4,0.2,1.7,0,11.8,"Schuyler"
"1220","Leukemias",5,21.1,13.2,32.3,2.4,20.2,9.9,37.5,2.6,21.5,10.8,39.2,1.8,7.1,3.2,14.3,1,9.2,3,22.7,0.8,5.7,1.5,17,"Schuyler"
"1221","All Invasive Malignant Tumors",242,526.9,496.3,558.9,128.8,575.4,530.4,623.4,113.2,495.7,453.1,541.5,81.2,169.3,152.8,187.3,40.8,183.7,158.7,211.6,40.4,159.7,137.5,184.9,"Seneca"
"1222","Oral cavity and pharynx",5.6,11.9,7.7,17.7,4.4,18.9,11.6,29.4,1.2,4.9,1.8,11.8,0.8,1.6,0.4,4.6,0.8,3.5,0.9,9.6,0,0,0,4.8,"Seneca"
"1223","Esophagus",3,6,3.3,10.3,2.6,10.7,5.6,19.1,0.4,1.5,0.2,6.8,3.8,7.2,4.3,11.7,3.6,14.3,8.3,23.3,0.2,0.6,0,5.6,"Seneca"
"1224","Stomach",4.6,9.1,5.7,14.2,3.8,15.3,9.1,24.6,0.8,4,1,11.3,1.2,2.2,0.8,5.2,1,4.3,1.4,10.6,0.2,0.6,0,5.5,"Seneca"
"1225","Colorectal",17,37.6,29.7,47.1,9.2,41.1,29.8,55.6,7.8,36,25,50.5,6,13.2,8.7,19.3,2.8,12.4,6.7,21.4,3.2,14.4,7.8,24.7,"Seneca"
"1226","Colon excluding rectum",12.6,27.3,20.8,35.4,6.6,29.4,20,42,6,26.6,17.5,39.1,4.8,10.3,6.4,15.7,2.4,10.3,5.2,18.8,2.4,10.3,5,19.3,"Seneca"
"1227","Rectum & rectosigmoid",4.4,10.3,6.3,16.1,2.6,11.7,6,20.8,1.8,9.5,4,18.9,1.2,2.9,1,6.8,0.4,2,0.2,7.7,0.8,4.1,0.9,11.5,"Seneca"
"1228","Liver / intrahepatic bile duct",3.2,6.4,3.5,11,1.6,6.5,2.8,13.6,1.6,6.7,2.6,14.6,3,5.7,3.2,9.8,2.2,9.6,4.7,17.8,0.8,2.6,0.7,8.2,"Seneca"
"1229","Pancreas",8,15.7,11.2,21.8,4.4,18.8,11.7,29.1,3.6,12.9,7.6,21.4,6.4,13,8.8,18.9,3.2,14.2,8,23.6,3.2,12.3,6.7,21.4,"Seneca"
"1230","Larynx",1,2.3,0.7,5.7,0.8,3.9,1,10.4,0.2,0.8,0,5.9,0.6,1.2,0.2,4.1,0.4,1.5,0.2,6.5,0.2,1,0,6.4,"Seneca"
"1231","Lung and bronchus",36.6,75.5,64.7,87.9,17.2,74.7,59.4,93,19.4,78,62.7,96.5,23.4,48,39.5,58,10.6,46.2,34.3,61.3,12.8,49.4,37.8,64.1,"Seneca"
"1232","Melanoma of the skin",12.6,29.6,22.4,38.5,8.4,40,28.5,54.9,4.2,21,12.5,33.2,1.2,2.7,0.9,6.3,0.2,0.7,0,5.3,1,4.7,1.3,12,"Seneca"
"1233","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,28.4,126.9,105.5,151.6,NA,NA,NA,NA,NA,NA,NA,NA,4.4,17.9,10.8,28.3,"Seneca"
"1234","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.6,9,3.7,18.4,NA,NA,NA,NA,NA,NA,NA,NA,0.8,3.6,0.9,10.2,"Seneca"
"1235","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,10.8,45,33.3,60.1,NA,NA,NA,NA,NA,NA,NA,NA,1,3.5,1.1,9.5,"Seneca"
"1236","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,2.6,11.4,5.9,20.6,NA,NA,NA,NA,NA,NA,NA,NA,2.4,9.4,4.8,17.3,"Seneca"
"1237","Prostate",NA,NA,NA,NA,30.2,123.7,104.3,145.9,NA,NA,NA,NA,NA,NA,NA,NA,2.6,12.8,6.8,22.2,NA,NA,NA,NA,"Seneca"
"1238","Testis",NA,NA,NA,NA,1.8,10.4,4.6,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.3,NA,NA,NA,NA,"Seneca"
"1239","Urinary bladder (incl. in situ)",10.6,21.4,15.9,28.4,7.4,32.1,22.4,45,3.2,11.5,6.5,19.8,0.8,1.5,0.4,4.5,0.4,2,0.2,7.8,0.4,1.2,0.1,6.3,"Seneca"
"1240","Kidney and renal pelvis",10.2,25.8,18.8,34.4,6.4,31,20.8,44.6,3.8,20.2,11.6,32.6,1.2,2.4,0.9,5.7,0.8,2.8,0.8,8.3,0.4,1.9,0.2,7.8,"Seneca"
"1241","Brain and other central nervous system",3.6,9.2,5.3,14.9,1.6,8.1,3.4,16.5,2,10.5,4.7,20.3,2.4,4.7,2.4,8.6,1.2,4.7,1.7,11.1,1.2,4.8,1.6,11.6,"Seneca"
"1242","Thyroid",4.8,15.1,9.5,22.7,1.6,9.9,4.1,19.7,3.2,21.2,11.8,34.8,0,0,0,2.2,0,0,0,4.3,0,0,0,4.8,"Seneca"
"1243","Hodgkin lymphoma",2.8,7.1,3.8,12.4,1.6,8.4,3.5,17.1,1.2,5.8,2,13.6,0.4,1.1,0.1,4.1,0,0,0,4.3,0.4,2.2,0.2,8.6,"Seneca"
"1244","Non-Hodgkin lymphomas",9.6,20.9,15.2,28.1,5.6,26.1,17.1,38.4,4,15.6,9.3,25.2,3.2,7,3.9,11.8,1.6,8.3,3.5,16.7,1.6,6.1,2.6,13.2,"Seneca"
"1245","Myeloma",2.4,5,2.6,9.1,1.8,8.4,3.8,16.5,0.6,2.4,0.5,8.1,1.4,2.9,1.2,6.4,0.8,3.6,1,9.8,0.6,2.5,0.5,8.5,"Seneca"
"1246","Leukemias",8.4,19.5,13.8,26.8,5.8,28.6,18.8,41.8,2.6,11.3,5.9,20.2,3.2,7.5,4.2,12.5,2.6,13.6,7.2,23.6,0.6,2.4,0.5,8.2,"Seneca"
"1247","All Invasive Malignant Tumors",660,480.5,463.7,497.7,354,535.2,509.8,561.5,306,438,415.3,461.6,214.8,152.7,143.6,162.4,113.4,176.9,162.2,192.5,101.4,133.4,121.8,146,"St.Lawrence"
"1248","Oral cavity and pharynx",18.2,12.7,10.2,15.8,12.6,18.7,14.2,24.2,5.6,6.8,4.5,10,3.2,2.2,1.2,3.7,2.2,3.5,1.7,6.4,1,1.1,0.3,2.9,"St.Lawrence"
"1249","Esophagus",9,6.3,4.6,8.6,7.6,11.2,7.8,15.6,1.4,1.9,0.8,4.2,8.4,5.8,4.1,7.9,7.6,11,7.7,15.3,0.8,1.1,0.3,3.1,"St.Lawrence"
"1250","Stomach",10.6,7.8,5.8,10.3,7.6,11.7,8.2,16.3,3,4.7,2.6,8,3.2,2.3,1.3,3.9,2.6,4.3,2.3,7.5,0.6,0.7,0.1,2.4,"St.Lawrence"
"1251","Colorectal",55.4,40.9,36.1,46.1,27.2,42.3,35.3,50.3,28.2,39.3,32.9,46.8,17,12.6,10,15.7,8.2,13.3,9.5,18.3,8.8,11.9,8.6,16.3,"St.Lawrence"
"1252","Colon excluding rectum",37.8,28.2,24.2,32.7,18,28.2,22.6,34.9,19.8,27.9,22.5,34.3,12.2,9.2,7,12,5.6,9.2,6.1,13.5,6.6,9.2,6.2,13.2,"St.Lawrence"
"1253","Rectum & rectosigmoid",17.6,12.7,10.1,15.7,9.2,14,10.2,18.9,8.4,11.4,8.2,15.8,4.8,3.4,2.1,5.1,2.6,4.1,2.1,7.2,2.2,2.8,1.4,5.2,"St.Lawrence"
"1254","Liver / intrahepatic bile duct",9.6,6.7,4.9,9,6.4,9.4,6.3,13.4,3.2,4.1,2.3,7,7.4,5.1,3.5,7.1,4,5.8,3.5,9.2,3.4,4.1,2.4,6.9,"St.Lawrence"
"1255","Pancreas",20.2,14.1,11.4,17.3,8.6,12.3,8.8,16.8,11.6,15.2,11.4,19.9,15.2,10.8,8.5,13.6,6.8,10.1,6.9,14.4,8.4,11,7.8,15.1,"St.Lawrence"
"1256","Larynx",7.6,5.3,3.7,7.4,5.8,8.4,5.6,12.3,1.8,2.5,1.1,5,0.6,0.4,0.1,1.2,0.6,0.9,0.2,2.8,0,0,0,1.4,"St.Lawrence"
"1257","Lung and bronchus",106.4,74.3,68,81,54.8,81.4,71.8,91.9,51.6,68.7,60.4,77.8,64.2,44.6,39.8,49.9,36,54,46.2,62.8,28.2,37.5,31.5,44.4,"St.Lawrence"
"1258","Melanoma of the skin",28.8,22.2,18.6,26.3,17.6,28.4,22.6,35.3,11.2,17.6,13.1,23.3,3,2.2,1.2,3.8,2.8,4.9,2.6,8.3,0.2,0.2,0,1.7,"St.Lawrence"
"1259","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,74.2,109.2,97.8,121.7,NA,NA,NA,NA,NA,NA,NA,NA,10.4,14.3,10.5,19,"St.Lawrence"
"1260","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.8,7.2,4.2,11.4,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.4,1,5.1,"St.Lawrence"
"1261","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,21,29,23.5,35.5,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.9,2.2,6.7,"St.Lawrence"
"1262","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5.8,9.3,6,13.7,NA,NA,NA,NA,NA,NA,NA,NA,4.4,5.7,3.6,8.9,"St.Lawrence"
"1263","Prostate",NA,NA,NA,NA,86.8,124.5,112.8,137.2,NA,NA,NA,NA,NA,NA,NA,NA,7.8,14.2,10.1,19.5,NA,NA,NA,NA,"St.Lawrence"
"1264","Testis",NA,NA,NA,NA,3.8,7.1,4.2,11.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.4,NA,NA,NA,NA,"St.Lawrence"
"1265","Urinary bladder (incl. in situ)",45,32,27.9,36.6,32.6,51.1,43.4,59.9,12.4,16.6,12.6,21.6,6.6,4.7,3.2,6.7,4,6.5,3.9,10.1,2.6,3.2,1.7,5.7,"St.Lawrence"
"1266","Kidney and renal pelvis",22.2,17,13.8,20.6,15,23.5,18.3,29.7,7.2,10.5,7.2,14.8,4.8,3.3,2.1,5.1,2.6,3.7,1.9,6.5,2.2,2.8,1.4,5.3,"St.Lawrence"
"1267","Brain and other central nervous system",9.4,7.4,5.3,10,4.6,7.5,4.7,11.5,4.8,7,4.4,10.8,4.8,3.6,2.3,5.5,2.4,4,2,7.2,2.4,3,1.6,5.6,"St.Lawrence"
"1268","Thyroid",11.8,10.7,8.1,14,2.4,4.1,2.1,7.4,9.4,17.9,12.9,24.2,0.6,0.5,0.1,1.4,0.4,0.8,0.1,2.8,0.2,0.3,0,1.9,"St.Lawrence"
"1269","Hodgkin lymphoma",2.6,2.3,1.2,3.9,1.4,2.3,0.9,4.8,1.2,2.3,0.8,5.1,0.4,0.3,0,1.2,0.4,0.6,0.1,2.4,0,0,0,1.4,"St.Lawrence"
"1270","Non-Hodgkin lymphomas",24.8,18.6,15.4,22.4,13.6,21,16.2,26.9,11.2,16.1,12,21.2,6.8,4.9,3.3,6.9,3.8,5.9,3.5,9.4,3,3.9,2.2,6.7,"St.Lawrence"
"1271","Myeloma",7.4,5.4,3.8,7.6,4.6,7.4,4.6,11.2,2.8,3.9,2,6.9,4,2.9,1.7,4.5,2.4,3.8,1.9,6.8,1.6,2.2,0.9,4.7,"St.Lawrence"
"1272","Leukemias",21.4,16,13,19.5,13.2,20.9,16,26.8,8.2,11.2,8,15.5,6.4,5,3.4,7.2,3.6,6.6,3.9,10.6,2.8,3.7,2,6.4,"St.Lawrence"
"1273","All Invasive Malignant Tumors",642.2,484.5,467.2,502.3,341.4,529.5,503.8,556.1,300.8,450.6,426.9,475.4,229,167.1,157.3,177.3,122,195.3,179.8,211.9,107,144.9,132.5,158.3,"Steuben"
"1274","Oral cavity and pharynx",19.2,13.3,10.7,16.5,15.2,21.8,17,27.6,4,5.6,3.3,9,3.8,2.8,1.7,4.5,3,4.8,2.6,8.1,0.8,1.1,0.3,3.1,"Steuben"
"1275","Esophagus",7.2,5.3,3.7,7.5,5.6,8.8,5.8,13,1.6,2.1,0.9,4.5,5.8,4.5,3,6.6,4.8,8.3,5.3,12.5,1,1.2,0.4,3.2,"Steuben"
"1276","Stomach",5.6,4.2,2.7,6.2,3.8,6.1,3.6,9.7,1.8,2.8,1.2,5.6,2.2,1.6,0.8,3,1.2,2,0.7,4.6,1,1.3,0.4,3.4,"Steuben"
"1277","Colorectal",57,41.9,37.1,47.3,30.2,46.9,39.6,55.4,26.8,37.9,31.5,45.4,20.4,14.9,12.1,18.2,11.4,18.3,13.8,24,9,11.9,8.6,16.3,"Steuben"
"1278","Colon excluding rectum",42.4,31.1,27,35.8,22,34.3,28,41.6,20.4,28.5,23.1,35.1,14.4,10.6,8.2,13.5,7.8,12.9,9.1,17.8,6.6,8.5,5.7,12.3,"Steuben"
"1279","Rectum & rectosigmoid",14.6,10.8,8.4,13.8,8.2,12.7,9,17.5,6.4,9.3,6.2,13.6,6,4.3,2.9,6.2,3.6,5.4,3.2,8.9,2.4,3.5,1.7,6.4,"Steuben"
"1280","Liver / intrahepatic bile duct",6.4,4.4,3,6.3,4.6,6.9,4.3,10.6,1.8,2.2,1,4.5,6.2,4.4,2.9,6.3,4,5.8,3.5,9.3,2.2,3.1,1.5,5.8,"Steuben"
"1281","Pancreas",20.2,15,12.1,18.3,9.6,15.5,11.3,20.8,10.6,14.4,10.7,19.3,16.6,11.9,9.5,14.9,9,14.5,10.5,19.6,7.6,9.6,6.8,13.5,"Steuben"
"1282","Larynx",7.8,5.7,4,7.9,6.2,9,6,13.1,1.6,2.5,1,5.1,2.6,2,1,3.6,2,3.1,1.4,6.1,0.6,0.9,0.2,3,"Steuben"
"1283","Lung and bronchus",99,70.8,64.5,77.5,54.6,82,72.3,92.8,44.4,60.9,53,69.8,65.4,47,42,52.6,38.6,59.6,51.3,69,26.8,35.7,29.8,42.6,"Steuben"
"1284","Melanoma of the skin",28.2,24,20,28.5,16.6,28.4,22.4,35.6,11.6,20.9,15.6,27.5,4.6,3.7,2.3,5.7,2.8,4.9,2.6,8.5,1.8,2.6,1.2,5.3,"Steuben"
"1285","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,81.4,123.4,111,136.9,NA,NA,NA,NA,NA,NA,NA,NA,13.8,18.6,14.3,24,"Steuben"
"1286","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,5,8.4,5.3,12.8,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.9,0.8,4.1,"Steuben"
"1287","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,20.6,30.9,24.9,38,NA,NA,NA,NA,NA,NA,NA,NA,3,4.1,2.3,7.1,"Steuben"
"1288","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5.4,8,5.2,12,NA,NA,NA,NA,NA,NA,NA,NA,5.6,8.3,5.4,12.3,"Steuben"
"1289","Prostate",NA,NA,NA,NA,79.4,113.8,102.6,126,NA,NA,NA,NA,NA,NA,NA,NA,11.2,18.8,14.1,24.5,NA,NA,NA,NA,"Steuben"
"1290","Testis",NA,NA,NA,NA,2.8,6.6,3.6,11,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,1.9,NA,NA,NA,NA,"Steuben"
"1291","Urinary bladder (incl. in situ)",34.2,25,21.3,29.2,26.4,42.1,35.1,50.2,7.8,10.4,7.3,14.5,6,4.2,2.8,6.2,5,8.2,5.3,12.2,1,1.3,0.4,3.4,"Steuben"
"1292","Kidney and renal pelvis",20,15.9,12.8,19.6,11.8,20.1,15.1,26.3,8.2,11.7,8.2,16.2,4,2.8,1.7,4.4,2.2,3.2,1.6,6,1.8,2.6,1.2,5.2,"Steuben"
"1293","Brain and other central nervous system",7.6,6.9,4.8,9.6,4.6,8.5,5.3,13.1,3,5.3,2.8,9,6.4,5.4,3.6,7.9,3.2,5.3,2.9,9,3.2,5.6,3.1,9.4,"Steuben"
"1294","Thyroid",14,14.2,10.9,18.2,3.8,7.5,4.3,12,10.2,21.1,15.4,28,1,0.6,0.2,1.6,0.6,0.7,0.2,2.6,0.4,0.5,0.1,2.2,"Steuben"
"1295","Hodgkin lymphoma",1.2,1.2,0.4,2.7,0.6,1.4,0.3,4.1,0.6,1,0.2,3.2,0.2,0.3,0,1.5,0,0,0,1.6,0.2,0.6,0,2.9,"Steuben"
"1296","Non-Hodgkin lymphomas",24.6,19.3,15.9,23.2,11.8,19.7,14.8,25.6,12.8,19.2,14.6,24.9,8,6.2,4.4,8.6,3.8,6.4,3.8,10.3,4.2,5.9,3.6,9.5,"Steuben"
"1297","Myeloma",7.4,5.7,4,7.9,5,8.2,5.3,12.4,2.4,3.3,1.7,6.1,3.8,2.7,1.6,4.4,1.4,2.4,1,5.2,2.4,3,1.5,5.5,"Steuben"
"1298","Leukemias",20,14.4,11.7,17.7,11.8,17.3,13.1,22.5,8.2,11.7,8.3,16.2,6.6,4.7,3.2,6.8,2.8,4.7,2.5,8,3.8,4.7,2.8,7.7,"Steuben"
"1299","All Invasive Malignant Tumors",9853.4,530.5,525.7,535.3,4975,583.7,576.3,591.2,4878.4,496,489.6,502.5,2703.4,142.2,139.7,144.6,1360.8,165.9,161.9,169.9,1342.6,126.3,123.2,129.4,"Suffolk"
"1300","Oral cavity and pharynx",227.2,11.8,11.1,12.6,157.4,17.6,16.4,18.9,69.8,6.8,6.1,7.6,31,1.6,1.4,1.9,22,2.6,2.1,3.2,9,0.9,0.6,1.2,"Suffolk"
"1301","Esophagus",92.2,4.7,4.3,5.2,72.6,8.2,7.4,9.1,19.6,1.9,1.5,2.3,72.6,3.7,3.3,4.1,60,6.9,6.1,7.7,12.6,1.2,0.9,1.6,"Suffolk"
"1302","Stomach",138,7.4,6.9,8,81.8,9.7,8.7,10.7,56.2,5.7,5,6.4,52.8,2.8,2.5,3.2,29.2,3.4,2.9,4,23.6,2.3,1.9,2.8,"Suffolk"
"1303","Colorectal",743.4,40.2,38.9,41.5,386.2,46.2,44.1,48.3,357.2,35.4,33.8,37.2,228.6,12,11.3,12.7,118,14.4,13.3,15.7,110.6,10.2,9.3,11.1,"Suffolk"
"1304","Colon excluding rectum",535.2,29.1,28,30.2,263,31.9,30.1,33.7,272.2,26.9,25.5,28.5,189.2,9.9,9.3,10.6,96,11.8,10.7,12.9,93.2,8.6,7.8,9.4,"Suffolk"
"1305","Rectum & rectosigmoid",208.2,11.1,10.4,11.8,123.2,14.3,13.2,15.5,85,8.5,7.7,9.4,39.4,2.1,1.8,2.4,22,2.7,2.2,3.2,17.4,1.7,1.3,2.1,"Suffolk"
"1306","Liver / intrahepatic bile duct",159.6,8.2,7.6,8.8,118.6,13.2,12.1,14.3,41,3.9,3.3,4.5,100.8,5.2,4.8,5.7,66.4,7.7,6.9,8.6,34.4,3.2,2.7,3.7,"Suffolk"
"1307","Pancreas",299.2,15.8,15,16.6,159.8,18.7,17.4,20.1,139.4,13.4,12.4,14.5,211.6,11.1,10.4,11.8,114,13.5,12.4,14.7,97.6,9.1,8.3,10,"Suffolk"
"1308","Larynx",59,3,2.7,3.4,47.2,5.4,4.7,6.1,11.8,1.1,0.8,1.4,14.4,0.8,0.6,1,11.2,1.3,1,1.7,3.2,0.3,0.2,0.5,"Suffolk"
"1309","Lung and bronchus",1260.2,66.3,64.6,68,571,68.5,65.9,71.1,689.2,65.4,63.2,67.6,646.6,33.9,32.8,35.1,311.8,38,36.1,39.9,334.8,31.2,29.7,32.8,"Suffolk"
"1310","Melanoma of the skin",475.4,25.8,24.7,26.9,288.4,34.2,32.4,36.1,187,19.6,18.4,21,40.8,2.1,1.8,2.4,27.4,3.3,2.7,3.9,13.4,1.2,0.9,1.6,"Suffolk"
"1311","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,1319.2,136.1,132.7,139.6,NA,NA,NA,NA,NA,NA,NA,NA,187.6,17.9,16.8,19.2,"Suffolk"
"1312","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,55.4,6.8,6,7.7,NA,NA,NA,NA,NA,NA,NA,NA,17,1.8,1.4,2.3,"Suffolk"
"1313","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,331.2,32,30.5,33.7,NA,NA,NA,NA,NA,NA,NA,NA,58.8,5.5,4.9,6.2,"Suffolk"
"1314","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,122.6,12.5,11.5,13.6,NA,NA,NA,NA,NA,NA,NA,NA,76.8,7.2,6.5,8,"Suffolk"
"1315","Prostate",NA,NA,NA,NA,1181.2,129,125.6,132.4,NA,NA,NA,NA,NA,NA,NA,NA,122,15.7,14.4,17,NA,NA,NA,NA,"Suffolk"
"1316","Testis",NA,NA,NA,NA,49.6,7.1,6.3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.1,0,0.3,NA,NA,NA,NA,"Suffolk"
"1317","Urinary bladder (incl. in situ)",517.8,27.6,26.5,28.7,388.6,47.6,45.4,49.8,129.2,12.3,11.3,13.3,93.8,5,4.5,5.4,65.2,8.5,7.6,9.4,28.6,2.6,2.2,3.1,"Suffolk"
"1318","Kidney and renal pelvis",377.6,20.2,19.3,21.2,246,28.5,26.9,30.2,131.6,13.2,12.1,14.3,58.8,3.1,2.7,3.4,39.2,4.7,4.1,5.5,19.6,1.8,1.4,2.2,"Suffolk"
"1319","Brain and other central nervous system",128.6,7.6,7,8.3,69.6,8.7,7.8,9.7,59,6.7,5.9,7.6,82.4,4.4,3.9,4.8,45.2,5.1,4.5,5.9,37.2,3.7,3.2,4.3,"Suffolk"
"1320","Thyroid",361.8,22.8,21.7,23.9,99,12.3,11.2,13.4,262.8,33.2,31.3,35.1,10.2,0.5,0.4,0.7,4.8,0.6,0.4,0.8,5.4,0.5,0.3,0.8,"Suffolk"
"1321","Hodgkin lymphoma",52.4,3.4,3,3.9,28.4,3.7,3.1,4.3,24,3.2,2.6,3.8,4.6,0.3,0.2,0.4,1.8,0.2,0.1,0.5,2.8,0.3,0.2,0.5,"Suffolk"
"1322","Non-Hodgkin lymphomas",453,24.6,23.6,25.7,247.6,29.7,28,31.5,205.4,20.6,19.3,22,92.2,4.9,4.5,5.4,54.2,6.8,6,7.7,38,3.6,3.1,4.1,"Suffolk"
"1323","Myeloma",167.6,8.8,8.2,9.5,97.8,11.4,10.4,12.5,69.8,6.7,6,7.5,53.8,2.8,2.5,3.2,28.4,3.4,2.9,4,25.4,2.3,2,2.8,"Suffolk"
"1324","Leukemias",376.2,20.8,19.9,21.8,224.4,27.5,25.9,29.2,151.8,15.5,14.4,16.7,108.2,5.9,5.4,6.4,65.2,8.3,7.4,9.3,43,4.1,3.5,4.7,"Suffolk"
"1325","All Invasive Malignant Tumors",460.8,453.9,434.9,473.7,237.4,466.2,439,494.7,223.4,451.6,424.1,480.4,164.6,161.5,150.4,173.3,87,177.9,161,196.2,77.6,147.9,133.2,164,"Sullivan"
"1326","Oral cavity and pharynx",11.8,10.8,8.1,14.2,9,16.2,11.7,22.2,2.8,5.7,3,10,1.6,1.2,0.5,2.7,1.4,2.1,0.8,4.9,0.2,0.3,0,2.6,"Sullivan"
"1327","Esophagus",5.2,4.9,3.1,7.3,3.8,7.5,4.4,12.1,1.4,2.6,1,5.8,5,5,3.2,7.6,4.2,8.6,5.2,13.5,0.8,1.6,0.4,4.6,"Sullivan"
"1328","Stomach",5,5,3.2,7.6,3.2,6.4,3.5,10.8,1.8,3.8,1.7,7.7,1.4,1.4,0.6,3.1,1.2,2.7,0.9,6.2,0.2,0.5,0,2.9,"Sullivan"
"1329","Colorectal",40.4,40.8,35.1,47.1,25,51,42.1,61.4,15.4,30.3,23.6,38.4,13.4,13.3,10.3,17.1,6.8,14.1,9.6,20.1,6.6,12.2,8.4,17.5,"Sullivan"
"1330","Colon excluding rectum",28.2,27.5,23,32.6,17,33.4,26.5,41.7,11.2,21.5,16.1,28.4,10.4,10.4,7.7,13.8,5.4,11.2,7.3,16.6,5,9.2,5.9,14,"Sullivan"
